Country,tuition,student_teacher_ratio,school_size,income,popolation,intl_student_percent,research,citation,male_female_ratio,GDP,num_NP,TimesScore,,,,,,
Singapore,6373,16.9,27978.5,67.65,5850.34,0.28,80.4,80.9,1.02,372062527488.64,0,77.4,,,,,,
Hong Kong,5430,17.46666667,14243.16667,54.98333333,7497,0.37,53.93333333,76.4,0.74,365700000000.00,1,62.41666667,,,,,,
Netherlands,2420,18.51538462,19599.15385,72.95384615,17134.87,0.22,55.58461538,80.23076923,0.94,907050863145.10,21,61.49230769,,,,,,
Switzerland,1168,14.67272727,11755.90909,60.94545455,8654.62,0.33,43.57272727,76.82727273,1.03,703082435158.86,27,57.39090909,,,,,,
Belgium,2668,33.075,23646.5,72.675,11589.62,0.19,48.1875,71.075,0.88,533097455834.51,11,54.3125,,,,,,
Luxembourg,681,18.7,4654,45.2,625.98,0.49,36.5,75.8,0.96,71104919108.14,2,53.7,,,,,,
Denmark,0,14.27142857,18235.14286,55.12857143,5792.2,0.17,38.65714286,77.5,0.96,350104327658.68,13,51.62857143,,,,,,
Germany,0,44.00208333,24539.14583,64.35833333,83783.95,0.16,40.96666667,68.875,1.05,3861123558039.21,109,51.31875,,,,,,
Sweden,0,12.93333333,15596,56.53333333,10099.27,0.14,39.225,77.70833333,0.82,530883869004.98,32,51.11666667,,,,,,
United States,8202,14.8744186,22829.1686,44.92732558,331003,0.13,36.82383721,73.15581395,0.96,21433226000000.00,388,50.10813953,,,,,,
Australia,4763,29.33142857,23652.05714,50.12285714,25499.88,0.28,35.64857143,75,0.78,1396567014733.23,14,49.71714286,,,,,,
Macao,3357,19.4,9632,37.9,649,0.58,27.5,72.45,0.77,53860000000.00,0,47.3,,,,,,
Norway,0,12.16,18447.2,38.44,5421.24,0.14,26,78.92,0.74,403336363636.36,13,46.42,,,,,,
Canada,4939,22.82666667,27681.66667,48.04333333,37742.16,0.19,34.74,62.88,0.8,1736425629519.96,27,46.05333333,,,,,,
Finland,0,20.27777778,11473.66667,42.95555556,5540.72,0.11,35.17777778,66.41111111,0.9,269296310180.39,5,44.95555556,,,,,,
Iceland,579,19.4,5507,49.6,341.25,0.1,24.1,87.5,0.85,24188038473.54,1,44.6,,,,,,
United Kingdom,13050,16.266,16552.54,37.956,67886,0.28,29.147,64.927,0.79,2829108219165.80,133,43.945,,,,,,
Ireland,111530,22.74444444,13718.44444,41.54444444,4937.8,0.24,28.01111111,67.81111111,0.85,388698711348.16,11,43.73333333,,,,,,
Austria,914,14.1,10101.45455,51.39090909,9006.4,0.25,23.62727273,65.3,1.04,445075391688.16,22,43.47272727,,,,,,
New Zealand,4295,17.9875,16325.5,46.025,4822.23,0.29,27.3125,65.8625,0.78,206928765543.94,3,43.375,,,,,,
Cyprus,4217,19.7,4931.5,41.5,1207.36,0.1,20.45,80.15,0.67,24948935408.04,1,43.1,,,,,,
Israel,3095,23.6,15508.16667,39.5,8655.54,0.08,34.4,58.31666667,0.85,394652210295.85,12,42.55,,,,,,
Brunei Darussalam,6229,10.9,3830,34.8,437.48,0.15,19.3,74.4,0.49,13469422958.51,0,42.3,,,,,,
Qatar,549,17.3,15585,49.3,2881.06,0.38,27.2,64.7,0.32,175837550996.19,0,42.2,,,,,,
Italy,1658,25.80222222,24062.57778,42.72888889,60461.83,0.07,23.15777778,70.74,0.83,2003576145498.04,0,40.76888889,,,,,,
France,3338,19,29544.26316,46.15789474,65273.51,0.21,25.33947368,56.11315789,1.08,2715518274227.45,70,40.41578947,,,,,,
South Africa,1449,39.44,47144.6,51.02,59308.69,0.08,26.84,57.72,0.74,351431649241.44,11,38.15,,,,,,
Saudi Arabia,25061,8.428571429,22372.57143,54.6,34813.87,0.13,14.6,61.24285714,0.97,792966838161.66,0,37.72857143,,,,,,
United Arab Emirates,14634,13.375,7778,54.775,9890.4,0.48,19.65,50.125,0.6,421142267937.65,0,36.175,,,,,,
